BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,EyeBlinkLeft,EyeBlinkRight,EyeLookDownLeft,EyeLookDownRight,EyeLookInLeft,EyeLookInRight,EyeLookOutLeft,EyeLookOutRight,EyeLookUpLeft,EyeLookUpRight,EyeSquintLeft,EyeSquintRight,EyeWideLeft,EyeWideRight,JawForward,JawLeft,JawOpen,JawRight,MouthClose,MouthDimpleLeft,MouthDimpleRight,MouthFrownLeft,MouthFrownRight,MouthFunnel,MouthLeft,MouthLowerDownLeft,MouthLowerDownRight,MouthPressLeft,MouthPressRight,MouthPucker,MouthRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthSmileLeft,MouthSmileRight,MouthStretchLeft,MouthStretchRight,MouthUpperUpLeft,MouthUpperUpRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
0.000129,0.000449,0.626798,0.527247,0.267977,0.000070,0.000003,0.000000,0.456682,0.543835,0.800827,0.783585,0.007742,0.351094,0.337249,0.006686,0.003339,0.001788,0.345928,0.287396,0.001612,0.000422,0.000126,0.002902,0.096242,0.000926,0.001029,0.000746,0.004216,0.005314,0.003930,0.008458,0.000286,0.029340,0.023488,0.007160,0.013916,0.036734,0.005372,0.029145,0.016535,0.032536,0.305056,0.000122,0.000109,0.001481,0.000926,0.041538,0.093681,0.000009,0.000002,0.000000,-0.074866,0.050545,0.074611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000104,0.000302,0.725132,0.568897,0.290935,0.000047,0.000002,0.000000,0.365716,0.541220,0.766700,0.748447,0.004453,0.409778,0.382714,0.007183,0.003979,0.002075,0.241874,0.285799,0.002201,0.000428,0.000101,0.004252,0.056334,0.000482,0.000706,0.000940,0.002289,0.003300,0.002366,0.013283,0.000573,0.013843,0.011894,0.007947,0.007607,0.094001,0.004343,0.021185,0.013211,0.037060,0.337142,0.000086,0.000052,0.001597,0.000498,0.030415,0.058361,0.000010,0.000001,0.000000,-0.076087,0.050188,0.065522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000148,0.000262,0.757325,0.530736,0.283057,0.000046,0.000002,0.000000,0.365000,0.481032,0.727988,0.707220,0.005158,0.348528,0.318831,0.011555,0.004927,0.002687,0.277479,0.278943,0.002135,0.000594,0.000139,0.003607,0.046091,0.000439,0.000532,0.000650,0.003208,0.002089,0.001346,0.021232,0.000735,0.020901,0.015306,0.005644,0.009188,0.107656,0.003161,0.010141,0.008821,0.020598,0.300248,0.000120,0.000093,0.001764,0.000528,0.043882,0.096072,0.000010,0.000001,0.000000,-0.074036,0.044753,0.067772,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000164,0.000447,0.679234,0.511335,0.225109,0.000036,0.000002,0.000000,0.342314,0.523719,0.737766,0.713969,0.007150,0.322167,0.296930,0.010342,0.004934,0.002491,0.229984,0.260578,0.002322,0.000459,0.000121,0.002407,0.037556,0.000507,0.000470,0.000555,0.002384,0.003061,0.002105,0.021601,0.000697,0.018019,0.013259,0.004676,0.008021,0.118472,0.002740,0.009122,0.007643,0.018787,0.276444,0.000102,0.000083,0.001772,0.000683,0.032608,0.075565,0.000011,0.000001,0.000000,-0.072690,0.045034,0.065242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000117,0.000214,0.718711,0.510060,0.310200,0.000066,0.000002,0.000000,0.306790,0.565138,0.738257,0.702970,0.011094,0.258402,0.244710,0.011523,0.005829,0.002322,0.292611,0.273454,0.002778,0.000353,0.000159,0.004019,0.057745,0.000315,0.000690,0.000625,0.003000,0.005082,0.003471,0.013428,0.000710,0.029232,0.022745,0.007772,0.012636,0.043388,0.001855,0.012489,0.009430,0.018430,0.255427,0.000237,0.000182,0.002927,0.001036,0.050825,0.113107,0.000010,0.000001,0.000000,-0.068568,0.045811,0.061622,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001355,0.002562,0.398001,0.276078,0.084267,0.000013,0.000001,0.000000,0.181144,0.221399,0.266579,0.242448,0.046593,0.061712,0.075924,0.069434,0.040875,0.030371,0.299543,0.229739,0.004471,0.002072,0.000081,0.000308,0.001926,0.000029,0.000374,0.000256,0.005654,0.035422,0.028163,0.000923,0.000335,0.000716,0.000313,0.006970,0.053226,0.013552,0.003049,0.004036,0.000820,0.037451,0.095485,0.001210,0.002655,0.009886,0.011558,0.002462,0.007570,0.000004,0.000001,0.000000,0.014112,-0.054446,0.038443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002068,0.004870,0.335035,0.271840,0.057969,0.000009,0.000001,0.000000,0.599581,0.584537,0.603493,0.555898,0.013176,0.329048,0.331070,0.005033,0.011099,0.008042,0.513298,0.416094,0.000772,0.000215,0.000067,0.000311,0.001774,0.000026,0.000519,0.000227,0.008678,0.052157,0.043606,0.000853,0.000448,0.000456,0.000225,0.005489,0.051808,0.032041,0.002537,0.005646,0.000715,0.049782,0.064306,0.000841,0.001928,0.008987,0.022631,0.001360,0.005354,0.000006,0.000001,0.000000,0.013748,-0.065348,0.054075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000314,0.000366,0.605487,0.600695,0.260135,0.000025,0.000001,0.000001,0.075688,0.075101,0.281112,0.235109,0.000786,0.782850,0.753515,0.001215,0.034495,0.026641,0.191508,0.175706,0.013938,0.007702,0.000117,0.000164,0.000975,0.000021,0.000317,0.003973,0.018928,0.009612,0.008780,0.000172,0.001178,0.000121,0.000069,0.061518,0.189322,0.002325,0.001079,0.008113,0.001215,0.173500,0.059055,0.179283,0.281799,0.087951,0.153623,0.002493,0.006546,0.000003,0.000001,0.000000,0.009442,-0.063142,0.044410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000227,0.000259,0.603706,0.559194,0.254274,0.000027,0.000001,0.000000,0.233383,0.315029,0.525669,0.447439,0.031379,0.104486,0.111885,0.050813,0.018060,0.010551,0.274774,0.207848,0.003750,0.001562,0.000093,0.000103,0.000753,0.000022,0.000223,0.002997,0.029593,0.018846,0.016516,0.000134,0.000426,0.000163,0.000080,0.054510,0.185755,0.001585,0.003330,0.005523,0.000928,0.206560,0.073440,0.137340,0.247640,0.083153,0.123889,0.006633,0.022220,0.000004,0.000001,0.000000,0.009039,-0.054217,0.054975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000485,0.000657,0.520881,0.501437,0.174222,0.000026,0.000001,0.000000,0.125528,0.175437,0.391521,0.328241,0.002052,0.542644,0.501078,0.006050,0.026124,0.017533,0.222798,0.232965,0.007972,0.003377,0.000090,0.000137,0.000810,0.000024,0.000224,0.003084,0.022101,0.012689,0.010440,0.000114,0.000625,0.000089,0.000040,0.053171,0.157800,0.001574,0.002046,0.008521,0.002018,0.271379,0.071129,0.306892,0.436962,0.146653,0.177616,0.003664,0.010379,0.000002,0.000001,0.000000,0.009684,-0.060052,0.057418,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
