ts,HeadYaw,HeadPitch,HeadRoll,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,EyeBlinkLeft,EyeBlinkRight,EyeLookDownLeft,EyeLookDownRight,EyeLookInLeft,EyeLookInRight,EyeLookOutLeft,EyeLookOutRight,EyeLookUpLeft,EyeLookUpRight,EyeSquintLeft,EyeSquintRight,EyeWideLeft,EyeWideRight,JawForward,JawLeft,JawOpen,JawRight,MouthClose,MouthDimpleLeft,MouthDimpleRight,MouthFrownLeft,MouthFrownRight,MouthFunnel,MouthLeft,MouthLowerDownLeft,MouthLowerDownRight,MouthPressLeft,MouthPressRight,MouthPucker,MouthRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthSmileLeft,MouthSmileRight,MouthStretchLeft,MouthStretchRight,MouthUpperUpLeft,MouthUpperUpRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
40,-0.07596313993483705,0.15205290015939132,-0.010570286246599545,1.3017352102906443e-06,1.3228651596364216e-06,0.9885865449905396,0.9886959195137024,0.9711861610412598,2.0609464627341367e-05,7.907768804216175e-07,9.077349432118353e-07,0.01237361691892147,0.0044958028011024,0.2941923141479492,0.29780489206314087,0.08654731512069702,0.11283495277166367,0.07103868573904037,0.043254222720861435,0.0418592244386673,0.02189559116959572,0.1308116763830185,0.053613923490047455,0.08691418915987015,0.16191166639328003,3.5014836612390354e-05,0.000964862818364054,0.6690282225608826,0.07588648796081543,0.026441426947712898,0.056398190557956696,0.01823476515710354,8.7020890759959e-07,2.1166699752939167e-06,0.10069557279348373,0.013827499933540821,0.0012423546286299825,0.0009971846593543887,0.00048555232933722436,0.0016917908797040582,0.9362902045249939,0.0030308652203530073,0.014109691604971886,0.02691584825515747,0.006968726869672537,0.0030330303125083447,4.270076715329196e-06,4.3282093429297674e-06,2.011304559346172e-06,7.772110984660685e-05,0.0002713985159061849,0.00015896208060439676,1.2364043868728913e-06,7.779532751328588e-08,0.0,-0.07596313993483705,0.15205290015939132,-0.010570286246599545,0.0,0.0,0.0,0.0,0.0,0.0
80,-0.08138667080573847,0.16090543073614744,0.0029159268069220146,6.072351652619545e-07,1.2666713473663549e-06,0.9841949343681335,0.9933868646621704,0.9743070602416992,1.9832443285849877e-05,6.810802801737736e-07,5.803220233246975e-07,0.03644334897398949,0.023546859622001648,0.6228921413421631,0.6098186373710632,0.10175301879644394,0.10236340761184692,0.06347424536943436,0.062032125890254974,0.009569106623530388,0.004618538077920675,0.08884721249341965,0.0774291530251503,0.032434333115816116,0.046794649213552475,5.0655726226978004e-05,0.0008173226960934699,0.6479324102401733,0.08515004068613052,0.04066752269864082,0.03368927538394928,0.04119514673948288,5.19834827628074e-07,8.890172580322542e-07,0.12797671556472778,0.007159313652664423,0.001457341481000185,0.0010548371355980635,0.0003551419358700514,0.0020280792377889156,0.9358469247817993,0.007712360471487045,0.009993189945816994,0.027016544714570045,0.0043738726526498795,0.0019040157785639167,7.176283361332025e-06,9.266494089388289e-06,2.8915158054587664e-06,4.6162647777237e-05,0.00028682342963293195,0.0002798251807689667,1.008934418678109e-06,5.3672451372221985e-08,0.0,-0.08138667080573847,0.16090543073614744,0.0029159268069220146,0.0,0.0,0.0,0.0,0.0,0.0
120,-0.05731793359488946,0.15831598008049352,0.02410541432621245,1.7633860807109158e-06,2.752480895651388e-06,0.9621613621711731,0.9849563241004944,0.9645988345146179,2.625543493195437e-05,3.3617874350966304e-07,5.983330311210011e-07,0.03743366152048111,0.027428077533841133,0.6819589138031006,0.6650702953338623,0.17329198122024536,0.056640639901161194,0.03125585988163948,0.1497548669576645,0.007370777893811464,0.0034276486840099096,0.13210056722164154,0.05636437237262726,0.035104069858789444,0.031959857791662216,6.089486851124093e-05,0.006683106534183025,0.7242857813835144,0.011743877083063126,0.05572155490517616,0.16046789288520813,0.0896914154291153,1.492039274353374e-07,2.2364156393450685e-07,0.2323308140039444,0.017247067764401436,0.0011333492584526539,0.0009876216063275933,0.0005813173484057188,0.0014860471710562706,0.954293429851532,0.004545766394585371,0.010667064227163792,0.027729259803891182,0.0033861426636576653,0.0014095663791522384,1.1417705536587164e-05,1.096439973480301e-05,2.8597314667422324e-06,1.0859069334401283e-05,0.0002702093042898923,0.00024123533512465656,6.184688459143217e-07,3.869415721169389e-08,0.0,-0.05731793359488946,0.15831598008049352,0.02410541432621245,0.0,0.0,0.0,0.0,0.0,0.0
160,-0.00918699723324079,0.15961801392325164,0.04306184053907058,5.525810138351517e-06,5.40835753781721e-06,0.9170532822608948,0.9543218612670898,0.9148774743080139,3.321229087305255e-05,3.0304414622150944e-07,6.02894715484581e-07,0.05085698142647743,0.02361968532204628,0.6338726282119751,0.6218152046203613,0.24324220418930054,0.045152485370635986,0.022941650822758675,0.20818045735359192,0.008160103112459183,0.005677009932696819,0.11328677088022232,0.05854077264666557,0.023556159809231758,0.03497554734349251,7.727732008788735e-05,0.039472099393606186,0.7517571449279785,0.0012348279124125838,0.06909111887216568,0.320058673620224,0.19512641429901123,1.7236733640402235e-07,2.1978307529479935e-07,0.2888772785663605,0.003161354921758175,0.0012054822873324156,0.0013346998021006584,0.0012975434074178338,0.002140842843800783,0.9069666862487793,0.021723421290516853,0.010920100845396519,0.03321387991309166,0.002568702446296811,0.0015027241315692663,3.730000389623456e-05,2.9806837119394913e-05,9.474154467170592e-06,7.364124940067995e-06,0.0004619851242750883,0.00042151438537985086,4.3512392267075484e-07,3.981764962190937e-08,0.0,-0.00918699723324079,0.15961801392325164,0.04306184053907058,0.0,0.0,0.0,0.0,0.0,0.0
200,-0.01697885720821546,0.1649965907683225,0.051498929760439745,8.764764061197639e-06,7.148531040002126e-06,0.8812184929847717,0.963746190071106,0.9516948461532593,3.290143285994418e-05,1.5993009583326057e-07,5.132345108904701e-07,0.07765412330627441,0.034603238105773926,0.5915055274963379,0.5735354423522949,0.22872759401798248,0.03554288297891617,0.023842159658670425,0.21535909175872803,0.010716437362134457,0.00734352832660079,0.130697563290596,0.06971002370119095,0.01739467680454254,0.02529594860970974,8.99543592822738e-05,0.02400585077702999,0.6950428485870361,0.002587397349998355,0.06561940163373947,0.4189320504665375,0.35146960616111755,2.835929180378116e-08,3.659082281615156e-08,0.4606971740722656,0.0011361943325027823,0.001524152117781341,0.0016752913361415267,0.0009667842532508075,0.002871351083740592,0.9039259552955627,0.07301726937294006,0.007523911073803902,0.07160855084657669,0.0006182353827171028,0.0005689672543667257,4.083273597643711e-05,5.704853174393065e-05,3.7037759739178e-06,5.909782885282766e-06,0.00014828106213826686,0.00018274296598974615,3.5947081755693944e-07,3.3977638480564565e-08,0.0,-0.01697885720821546,0.1649965907683225,0.051498929760439745,0.0,0.0,0.0,0.0,0.0,0.0
240,-0.021990372692868076,0.15260231032911264,0.028733042733725275,4.8993915697792545e-06,7.7443046393455e-06,0.8867397308349609,0.9789201617240906,0.9477980136871338,2.5617420760681853e-05,2.5898847866301367e-07,2.5527299385430524e-07,0.05252133309841156,0.031971465796232224,0.50690758228302,0.4953102171421051,0.12237203121185303,0.06099105253815651,0.04252220690250397,0.12414002418518066,0.014577769674360752,0.007535071112215519,0.1673586666584015,0.06359359622001648,0.024606021121144295,0.025290612131357193,4.42899799963925e-05,0.0030319620855152607,0.6496330499649048,0.005656236317008734,0.28578272461891174,0.025204196572303772,0.008541288785636425,3.117625340109953e-07,4.7061396912795317e-07,0.1516643613576889,0.003358743619173765,0.0008796887123025954,0.0010484647937119007,0.00034875667188316584,0.0004674182564485818,0.9603226780891418,0.014211506582796574,0.00366700510494411,0.011936385184526443,0.0023511515464633703,0.0012600980699062347,9.38735502131749e-06,7.105323675205e-06,6.134725026640808e-06,2.0247078282409348e-05,0.0006263804389163852,0.0004432991554494947,5.848964406141022e-07,3.8513981337473524e-08,0.0,-0.021990372692868076,0.15260231032911264,0.028733042733725275,0.0,0.0,0.0,0.0,0.0,0.0
280,-0.034797531613667054,0.14904194057848014,0.01932555295901632,3.6610585993912537e-06,9.189579031954054e-06,0.8979550004005432,0.9766995310783386,0.9242453575134277,2.942333958344534e-05,4.0755600139164017e-07,3.5993392089039844e-07,0.0496794767677784,0.04808066785335541,0.45474642515182495,0.44811683893203735,0.06367551535367966,0.08720936626195908,0.08771607279777527,0.07353175431489944,0.022073596715927124,0.008089658804237843,0.25723180174827576,0.09426858276128769,0.021177412942051888,0.01894034631550312,3.367043609614484e-05,0.003978258464485407,0.6350532174110413,0.0017576655372977257,0.24090884625911713,0.009275788441300392,0.0041604675352573395,2.25176768253732e-06,3.650157168522128e-06,0.05148885026574135,0.0022023324854671955,0.0008518337272107601,0.0010709647322073579,0.0009239294449798763,0.0010398830054327846,0.8997877836227417,0.01587732881307602,0.003778115613386035,0.005637830588966608,0.008288047276437283,0.0028495166916400194,1.3829047020408325e-05,1.0527806807658635e-05,1.8247108528157696e-05,0.00017028562433551997,0.002309504896402359,0.0017304766224697232,1.0264218417432858e-06,8.40401384039069e-08,0.0,-0.034797531613667054,0.14904194057848014,0.01932555295901632,0.0,0.0,0.0,0.0,0.0,0.0
320,-0.0930262670216695,0.15135346319329396,0.019531684328808988,3.703472202687408e-06,1.2655357750190888e-05,0.8814922571182251,0.9807943105697632,0.9197672605514526,2.8604064937098883e-05,6.664671445832937e-07,2.9977132953717955e-07,0.0452389121055603,0.0418071448802948,0.44247883558273315,0.4234054684638977,0.08013414591550827,0.06679780036211014,0.07003039866685867,0.09054896980524063,0.02011721581220627,0.009050494059920311,0.21257895231246948,0.09157295525074005,0.023251714184880257,0.019196366891264915,2.968630360555835e-05,0.0007186699076555669,0.5677716732025146,0.012652588076889515,0.23909629881381989,0.003915686625987291,0.0026248071808367968,6.879923148517264e-06,9.80534969130531e-06,0.043774887919425964,0.0020673247054219246,0.000797765445895493,0.000854682584758848,0.0008264768403023481,0.001074907137081027,0.8810758590698242,0.01222528051584959,0.006093136966228485,0.006475341506302357,0.013783704489469528,0.004829226993024349,1.036402682075277e-05,8.204181540349964e-06,2.691921872610692e-05,0.00014665709750261158,0.0015811800258234143,0.0010664312867447734,8.734315315450658e-07,1.0081565449127083e-07,0.0,-0.0930262670216695,0.15135346319329396,0.019531684328808988,0.0,0.0,0.0,0.0,0.0,0.0
360,-0.17954823661300434,0.08501215144768197,-0.011330476763080286,4.394092229631497e-06,1.6546531696803868e-05,0.8426522612571716,0.9792830348014832,0.9238719344139099,4.2675903387134895e-05,7.497022238567297e-07,1.0586909411358647e-06,0.020017853006720543,0.0591525100171566,0.3046349585056305,0.32480448484420776,0.005579086951911449,0.4335636496543884,0.4301624000072479,0.012369508855044842,0.03797778859734535,0.015728529542684555,0.19574527442455292,0.07144791632890701,0.037445876747369766,0.02050696685910225,6.391204078681767e-05,0.00028998273774050176,0.4096319079399109,0.018811585381627083,0.06946312636137009,0.0105754928663373,0.0007648435421288013,4.765205449075438e-05,5.4528714827029034e-05,0.027815280482172966,0.0014369895216077566,0.0004938379279337823,0.0020261132158339024,0.010958269238471985,0.00045121944276615977,0.701447606086731,0.007281500846147537,0.01112251728773117,0.00538447592407465,0.015938840806484222,0.002547615673393011,2.436289105389733e-05,5.20827097716392e-06,0.00018943165196105838,0.00029893385362811387,0.0006459628930315375,0.00017109501641243696,1.7629371313887532e-06,1.746729623164356e-07,0.0,-0.17954823661300434,0.08501215144768197,-0.011330476763080286,0.0,0.0,0.0,0.0,0.0,0.0
400,-0.2439800094292257,0.11233839444463684,0.0013052112189273143,4.559160515782423e-06,1.1784104572143406e-05,0.8740091323852539,0.9751976728439331,0.9366341233253479,3.31558367179241e-05,5.079652964923298e-07,7.266204420375288e-07,0.032697562128305435,0.04851435497403145,0.33873340487480164,0.32998257875442505,0.008988222107291222,0.4197423458099365,0.41498130559921265,0.012853664346039295,0.03209672123193741,0.016856668516993523,0.1613491177558899,0.10039651393890381,0.029129914939403534,0.02322811260819435,5.432815305539407e-05,0.00018820328114088625,0.48280876874923706,0.031483277678489685,0.14273497462272644,0.006834530271589756,0.0007848761160857975,2.9627926778630354e-05,3.6018547689309344e-05,0.017014935612678528,0.0021922667510807514,0.0005919864634051919,0.0023434744216501713,0.003729878691956401,0.0002942964783869684,0.7718318700790405,0.004578849300742149,0.006981379352509975,0.005740403197705746,0.01152042020112276,0.002153427107259631,1.23187401186442e-05,3.9711308090772945e-06,9.870124631561339e-05,0.0002905303845182061,0.0006597992614842951,0.00023501792747993022,1.196885023091454e-06,1.0786686743813334e-07,0.0,-0.2439800094292257,0.11233839444463684,0.0013052112189273143,0.0,0.0,0.0,0.0,0.0,0.0
